Scientificname,Commonname,species,total_count,n_observations
Palaemon floridanus,Florida Grass Shrimp,6179110803,6,3
Palaemonetes intermedius,Brackish Grass Shrimp,6179110301,6145,462
Palaemonetes paludosus,Eastern Grass Shrimp,6179110302,139,34
Palaemonetes pugio,Daggerblade Grass Shrimp,6179110303,593900,4133
Palaemonetes spp.,Grass Shrimp,6179110300,5057,198
Palaemonetes vulgaris,Marsh Grass Shrimp,6179110304,4,3
Palaemonidae spp.,grass shrimp,6179110000,4,2
Parablennius marmoreus,Seaweed Blenny,8842012501,1,1
Parachromis managuensis,Jaguar Guapote,8835610207,1,1
Paraclinus fasciatus,Banded Blenny,8842090503,2,2
Paraclinus marmoratus,Marbled Blenny,8842090506,488,134
Paralichthyidae spp.,Sand Flounders,8857050000,1,1
Paralichthys albigutta,Gulf Flounder,8857050302,8577,4592
Pelmatolapia mariae,Spotted Tilapia,8835615401,39,19
Penaeidae spp.,Penaeid Shrimps,6177010000,13,11
Peprilus burti,Gulf Butterfish,8851030104,2,2
Peprilus paru,Harvestfish,8851030106,169,40
Periclimenes americanus,American Grass Shrimp,6179110401,75,29
Periclimenes longicaudatus,Longtail Grass Shrimp,6179110403,13,9
Pleuronectiformes spp.,Flounders,8855000000,1,1
Poecilia latipinna,Sailfin Molly,8804080201,57596,2877
Poecilia spp.,Mollies,8804080200,22,3
Pogonias cromis,Black Drum,8835440801,2363,694
Pomatomus saltatrix,Bluefish,8835250101,541,97
Pomoxis nigromaculatus,Black Crappie,8835160702,50,32
Portunidae spp.,Swimming Crabs,6189010000,5,3
Portunus gibbesii,Iridescent Swimming Crab,6189010601,1,1
Portunus spp.,Portunus Crabs,6189010600,21326,1775
Prionotus martis,Barred Searobin,8826020111,2,1
Prionotus rubio,Blackwing searobin,8826020118,4,3
Prionotus scitulus,Leopard Searobin,8826020103,24942,5001
Prionotus spp.,Searobins,8826020100,4,2
Prionotus tribulus,Bighead Searobin,8826020104,3395,2032
Protemblemaria punctata,Chameleon Blenny,8842100101,1,1
Pseudemys nelsoni,Florida Redbelly Turtle,9002030804,7,7
Pseudemys peninsularis,Peninsula Cooter,9002030803,7,7
Pseudemys spp.,Cooters - Turtles,9002030800,2,2
Pseudemys suwanniensis,Suwannee Cooter,9002030802,9,8
Pseudobatos lentiginosus,Atlantic Guitarfish,8713020101,119,94
Pseudupeneus maculatus,Spotted Goatfish,8835450301,2,2
Pterygoplichthys disjunctivus,Vermiculated Catfish,8777302001,35,32
Pterygoplichthys multiradiatus,Armoured Catfish,8777301002,2,2
Pterygoplichthys pardalis,Amazon sailfin catfish,8777301003,1,1
Pterygoplichthys spp.,suckermouth armored catfishes,8777301000,65,55
Rachycentron canadum,Cobia,8835260101,53,40
Rhinoptera bonasus,Cownose Ray,8713070301,9695,1607
Rhizoprionodon terraenovae,Atlantic Sharpnose Shark,8708020301,3,2
Rimapenaeus constrictus,Roughneck Shrimp,6177010201,184,80
Rimapenaeus spp.,roughneck shrimp,6177010200,34,18
Rocio octofasciata,Jack Dempsey,8835610204,1,1
Rostroraja eglanteria,Clearnose Skate,8713041002,1,1
Rostroraja texana,Roundel Skate,8713041003,13,9
Sardinella aurita,Spanish Sardine,8747060401,17195,101
Sarotherodon melanotheron,Blackchin Tilapia,8835610403,1192,352
Sciaenidae spp.,drums and croakers,8835440000,582,8
Sciaenops ocellatus,Red Drum,8835440901,61462,7676
Scomberomorus maculatus,Spanish Mackerel,8850030502,1137,498
Scorpaena brasiliensis,Barbfish,8826010605,323,205
Scorpaena calcarata,Smoothhead Scorpionfish,8826010606,1,1
Selene vomer,Lookdown,8835280701,1198,428
Serraniculus pumilio,Pygmy Sea Bass,8835022201,67,49
Serranus subligarius,Belted Sandfish,8835022309,63,48
Sicyonia brevirostris,Rock Shrimp,6177040101,7,2
Sicyonia laevigata,Hardback,6177040104,66,40
Sicyonia parri,Rock Shrimp,6177040107,1,1
Sicyonia spp.,Rock Shrimp,6177040100,5,5
Sicyonia typica,Kinglet Rock Shrimp,6177040103,62,23
Siluriformes spp.,Catfish,8777000000,1,1
Sphoeroides nephelus,Southern Puffer,8861010208,14050,6369
Sphoeroides spengleri,Bandtail Puffer,8861010211,400,226
Sphoeroides spp.,puffers,8861010200,5,5
Sphyraena barracuda,Great Barracuda,8837010104,850,375
Sphyraena borealis,Sennet,8837010102,137,73
Sphyraena guachancho,Guaguanche,8837010103,1,1
Sphyrna lewini,Scalloped Hammerhead,8708030103,1,1
Sphyrna spp.,hammerhead sharks,8708030100,1,1
Sphyrna tiburo,Bonnethead,8708030101,1108,619
Stephanolepis hispida,Planehead Filefish,8860020703,13918,2596
Stephanolepis setifer,Pygmy Filefish,8860020704,5,4
Sternotherus odoratus,Stinkpot,9002020101,1,1
Stomolophus meleagris,Cannonball Jellyfish,3737040301,2,2
Strongylura marina,Atlantic Needlefish,8803020201,3344,1253
Strongylura notata,Redfin Needlefish,8803020202,29863,5532
Strongylura spp.,Needlefishes,8803020200,1276,787
Strongylura timucu,Timucu,8803020203,928,511
Syacium papillosum,Dusky Flounder,8857060403,8,3
Symphurus plagiusa,Blackcheek Tonguefish,8858020101,6682,2649
Synbranchidae spp.,Swamp Eels,8824010000,1,1
Syngnathidae spp.,pipefishes,8820020000,5,3
Syngnathus floridae,Dusky Pipefish,8820020102,7548,1717
Syngnathus louisianae,Chain Pipefish,8820020104,4995,2821
Syngnathus scovelli,Gulf Pipefish,8820020113,22364,5869
Syngnathus spp.,Pipefishes,8820020100,22,15
Syngnathus springeri,Bull Pipefish,8820020109,2,2
Synodontidae spp.,lizardfishes,8762020000,1,1
Synodus foetens,Inshore Lizardfish,8762020101,15049,7524
Thorichthys meeki,Firemouth Cichlid,8835610208,7,1
Tigrigobius macrodon,Tiger Goby,8847015001,28,15
Tilapia spp.,Tilapias,8835610400,1,1
Tozeuma carolinense,Arrow Shrimp,6179161201,2,2
Tozeuma spp.,Arrow Shrimp,6179161200,3,2
Trachemys scripta elegans,Red-eared Turtle,9002030901,11,11
Trachemys scripta scripta,Yellow Bellied Turtle,9002030901,7,7
Trachinotus carolinus,Florida Pompano,8835280901,373,162
Trachinotus falcatus,Permit,8835280902,1989,416
Trachinotus spp.,jacks,8835280900,1,1
Trichromis salvini,Yellowbelly Cichlid,8835615101,2,1
Trinectes maculatus,Hogchoker,8858030101,106218,9780
Tylosurus crocodilus,Houndfish,8803020302,133,65
Tylosurus spp.,needlefishes,8803020300,1,1
Unidentified species,Unidentified species,9999000000,6,4
Urophycis floridana,Southern Hake,8791031007,241,158
Xiphophorus spp.,livebearers,8804080600,6,5
NA,NA,NA,0,9
